	Trait	TrainSet	ValidSet	Model	Test_Accuracy	Valid_Accuracy	MSE	Runtime	Leaves	Trees
118	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	1000.0	500.0
119	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	1000.0	500.0
120	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	2000.0	50.0
121	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	2000.0	50.0
122	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	2000.0	50.0
123	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558236	0.0	2000.0	100.0
124	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	2000.0	100.0
125	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	2000.0	100.0
126	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	2000.0	200.0
127	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	2000.0	200.0
128	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	2000.0	200.0
129	smut	[1, 3, 4, 5]	2	RF	0.33130382003425424	0.2352776476787461	4.572843684725088	0.0	2000.0	500.0
130	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	2000.0	500.0
131	smut	[1, 3, 4, 5]	2	RF	0.33130382003425424	0.2352776476787461	4.572843684725088	0.0	2000.0	500.0
132	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	5000.0	50.0
133	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	5000.0	50.0
134	smut	[1, 3, 4, 5]	2	RF	0.3177616340632973	0.22567134389387458	4.6043659299021575	0.0	5000.0	50.0
135	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	5000.0	100.0
136	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	5000.0	100.0
137	smut	[1, 3, 4, 5]	2	RF	0.3272138212806896	0.23796329433023258	4.568473235558235	0.0	5000.0	100.0
138	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	5000.0	200.0
139	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662747	4.575152862158565	0.0	5000.0	200.0
140	smut	[1, 3, 4, 5]	2	RF	0.33620077040028923	0.2347224152662748	4.575152862158565	0.0	5000.0	200.0
141	smut	[1, 3, 4, 5]	2	RF	0.33130382003425424	0.2352776476787461	4.572843684725088	0.0	5000.0	500.0
142	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	5000.0	500.0
143	smut	[1, 3, 4, 5]	2	RF	0.3313038200342543	0.2352776476787461	4.572843684725088	0.0	5000.0	500.0
144	smut	[1, 2, 4, 5]	3	RF	0.36075473207778025	0.23332822207308374	5.091599215030089	0.0	50.0	50.0
145	smut	[1, 2, 4, 5]	3	RF	0.36075473207778025	0.23332822207308374	5.091599215030089	0.0	50.0	50.0
146	smut	[1, 2, 4, 5]	3	RF	0.36075473207778025	0.23332822207308374	5.091599215030089	0.0	50.0	50.0
147	smut	[1, 2, 4, 5]	3	RF	0.3810117162190658	0.2488924883655861	5.029575036620416	0.0	50.0	100.0
148	smut	[1, 2, 4, 5]	3	RF	0.3810117162190658	0.2488924883655861	5.029575036620416	0.0	50.0	100.0
149	smut	[1, 2, 4, 5]	3	RF	0.3810117162190659	0.2488924883655861	5.029575036620416	0.0	50.0	100.0
150	smut	[1, 2, 4, 5]	3	RF	0.39408495875295463	0.258322081434094	4.996221088692049	0.0	50.0	200.0
151	smut	[1, 2, 4, 5]	3	RF	0.39408495875295463	0.258322081434094	4.996221088692049	0.0	50.0	200.0
152	smut	[1, 2, 4, 5]	3	RF	0.39408495875295463	0.258322081434094	4.996221088692049	0.0	50.0	200.0
153	smut	[1, 2, 4, 5]	3	RF	0.40437098675157296	0.26207962882335845	4.983800683516177	0.0	50.0	500.0
154	smut	[1, 2, 4, 5]	3	RF	0.40437098675157296	0.26207962882335845	4.983800683516177	0.0	50.0	500.0
